City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
105,Mojo,8.6,39.1167,63.95,74,49,3.33,ET,scattered clouds,2021-06-07 04:21:11
106,Souillac,-20.5167,57.5167,76.35,78,75,18.34,MU,light rain,2021-06-07 04:21:11
107,Emerald,-23.5333,148.1667,75.34,33,0,8.05,AU,clear sky,2021-06-07 04:21:12
108,Alwar Tirunagari,8.6,77.95,89.82,58,20,4.45,IN,few clouds,2021-06-07 04:21:12
109,Dikson,73.5069,80.5464,30.06,94,100,13.02,RU,light snow,2021-06-07 04:21:12
110,Gweru,-19.45,29.8167,46.35,91,81,12.77,ZW,broken clouds,2021-06-07 04:21:13
111,Tiksi,71.6872,128.8694,42.22,70,100,5.44,RU,overcast clouds,2021-06-07 04:21:13
112,Kamaishi,39.2667,141.8833,81.55,55,86,7.9,JP,overcast clouds,2021-06-07 04:21:13
113,College,64.8569,-147.8028,70.12,43,40,8.05,US,scattered clouds,2021-06-07 04:21:14
114,Severo-Kurilsk,50.6789,156.125,43.81,92,100,14.32,RU,light rain,2021-06-07 04:21:14
115,Port Hedland,-20.3167,118.5667,87.85,19,46,16.11,AU,scattered clouds,2021-06-07 04:21:14
116,Turayf,31.6725,38.6637,70.05,32,0,16.11,SA,clear sky,2021-06-07 04:21:15
117,Anapskaya,44.89,37.38,62.83,87,75,15.28,RU,broken clouds,2021-06-07 04:21:15
118,Fuzhou,26.0614,119.3061,76.89,41,45,3.91,CN,scattered clouds,2021-06-07 04:21:15
